method,id,set,group_id,gate_on
cot,fpq_185,fpq,g_09389edfbb93b248,1
cot,fpq_186,fpq,g_09389edfbb93b248,1
cot,fpq_188,fpq,g_b6504c084e04c1f2,1
cot,fpq_189,fpq,g_d8f0374a6b381463,1
cot,fpq_19,fpq,g_8124cae742b6aad4,1
cot,fpq_190,fpq,g_d8f0374a6b381463,1
cot,fpq_191,fpq,g_65a55fbfe45cf18c,0
cot,fpq_192,fpq,g_65a55fbfe45cf18c,0
cot,fpq_193,fpq,g_39287edc0e777ece,1
cot,fpq_194,fpq,g_f1487773f21856e6,0
cot,fpq_195,fpq,g_f1487773f21856e6,1
cot,fpq_196,fpq,g_d7e07c720ab6c76f,1
cot,fpq_197,fpq,g_485ec2fd456f4df7,1
cot,fpq_198,fpq,g_f345a4475fa51f95,1
cot,fpq_2,fpq,g_b307d148060aeba9,1
cot,fpq_20,fpq,g_8124cae742b6aad4,1
cot,fpq_200,fpq,g_81e00db328a19a38,1
cot,fpq_201,fpq,g_81e00db328a19a38,1
cot,fpq_202,fpq,g_9e56296cfa23f1e7,1
cot,fpq_204,fpq,g_9dd8d2fc49205f38,1
cot,fpq_205,fpq,g_15c6fe97d8e2f6e0,1
cot,fpq_206,fpq,g_15c6fe97d8e2f6e0,1
cot,fpq_207,fpq,g_15c6fe97d8e2f6e0,1
cot,fpq_208,fpq,g_6595cb9cf7dd268d,1
cot,fpq_21,fpq,g_8124cae742b6aad4,1
cot,fpq_216,fpq,g_ba345732bf0da6e5,1
cot,fpq_217,fpq,g_f6c91e0f72eb5194,1
cot,fpq_218,fpq,g_f6c91e0f72eb5194,0
cot,fpq_219,fpq,g_f6c91e0f72eb5194,0
cot,fpq_22,fpq,g_158a89f5efc1c650,1
cot,fpq_220,fpq,g_e88d95fcd902f167,1
cot,fpq_221,fpq,g_355ddd3fdc98bf5b,1
cot,fpq_222,fpq,g_884e56b99d8764d7,1
cot,fpq_223,fpq,g_ea3b58fed498a2f5,1
cot,fpq_224,fpq,g_5d198dc87f6265c9,1
cot,fpq_225,fpq,g_702204dfce746542,1
cot,fpq_226,fpq,g_306c413840376c8c,1
cot,fpq_227,fpq,g_0243a11f53c40470,1
cot,fpq_228,fpq,g_0243a11f53c40470,1
cot,fpq_229,fpq,g_bb84c04480c36968,1
cot,fpq_23,fpq,g_e9ef70af37257443,0
cot,fpq_230,fpq,g_a1de105f42d2030f,1
cot,fpq_231,fpq,g_a1de105f42d2030f,0
cot,fpq_232,fpq,g_a1de105f42d2030f,1
cot,fpq_233,fpq,g_a1de105f42d2030f,1
cot,fpq_234,fpq,g_a1de105f42d2030f,1
cot,fpq_236,fpq,g_c18b37c73a9e6d5f,0
cot,fpq_237,fpq,g_c18b37c73a9e6d5f,1
cot,fpq_238,fpq,g_c18b37c73a9e6d5f,1
cot,fpq_239,fpq,g_ed0f1d38c4159510,1
cot,fpq_24,fpq,g_846fcef047e655d9,1
cot,fpq_240,fpq,g_ed0f1d38c4159510,1
cot,fpq_241,fpq,g_3dd398a61fb84167,1
cot,fpq_244,fpq,g_d180357230a9e381,1
cot,fpq_245,fpq,g_851c78024fbdf837,0
cot,fpq_246,fpq,g_b60861031335942c,1
cot,fpq_247,fpq,g_5bbb16d8d84399dc,1
cot,fpq_248,fpq,g_8c556995ab534f4a,1
cot,fpq_249,fpq,g_8c556995ab534f4a,1
cot,fpq_25,fpq,g_2fa6e5ef34e0df75,1
cot,fpq_250,fpq,g_3a639c3577edbd5d,1
cot,fpq_251,fpq,g_3a639c3577edbd5d,1
cot,fpq_252,fpq,g_968ca6cdf6cf36dc,1
cot,fpq_253,fpq,g_968ca6cdf6cf36dc,1
cot,fpq_254,fpq,g_968ca6cdf6cf36dc,1
cot,fpq_255,fpq,g_c0997e51d65d0496,1
cot,fpq_256,fpq,g_c0997e51d65d0496,1
cot,fpq_257,fpq,g_bf7120dde2b7a065,1
cot,fpq_258,fpq,g_bf7120dde2b7a065,1
cot,fpq_259,fpq,g_f1911448fada53f3,0
cot,fpq_26,fpq,g_2fa6e5ef34e0df75,0
cot,fpq_260,fpq,g_f1911448fada53f3,1
cot,fpq_261,fpq,g_a123af131f86bff4,0
cot,fpq_262,fpq,g_5c82a064d84d0134,1
cot,fpq_263,fpq,g_056696697b597850,1
cot,fpq_264,fpq,g_056696697b597850,1
cot,fpq_265,fpq,g_e784d5f2127d8f1d,0
cot,fpq_266,fpq,g_e784d5f2127d8f1d,1
cot,fpq_267,fpq,g_f7c82ade31e0e73d,1
cot,fpq_268,fpq,g_406d9d9dcd2cb2f9,1
cot,fpq_269,fpq,g_406d9d9dcd2cb2f9,1
cot,fpq_27,fpq,g_2fa6e5ef34e0df75,1
cot,fpq_270,fpq,g_406d9d9dcd2cb2f9,0
cot,fpq_271,fpq,g_406d9d9dcd2cb2f9,1
cot,fpq_272,fpq,g_ef72aa0ca82e4d3d,1
cot,fpq_273,fpq,g_15c6fe97d8e2f6e0,1
cot,fpq_274,fpq,g_5774dd35ca3698fa,1
cot,fpq_275,fpq,g_db97c68cc2b3b713,1
cot,fpq_276,fpq,g_db97c68cc2b3b713,1
cot,fpq_277,fpq,g_9e56296cfa23f1e7,1
cot,fpq_278,fpq,g_e0d834f6f79bbf5c,0
cot,fpq_279,fpq,g_e0d834f6f79bbf5c,1
cot,fpq_28,fpq,g_c385ff6e98a203cc,1
cot,fpq_283,fpq,g_36707ae922bbc364,0
cot,fpq_285,fpq,g_5bbb16d8d84399dc,0
cot,fpq_286,fpq,g_8d6092632f196a3a,1
cot,fpq_287,fpq,g_8d6092632f196a3a,1
cot,fpq_288,fpq,g_aa9899578ba69e6c,1
cot,fpq_289,fpq,g_5529ea8bb29fa770,1
cot,fpq_29,fpq,g_c385ff6e98a203cc,1
cot,fpq_290,fpq,g_5529ea8bb29fa770,1
cot,fpq_291,fpq,g_5529ea8bb29fa770,1
cot,fpq_292,fpq,g_b32ab8ff142226e5,1
cot,fpq_293,fpq,g_f52bbf2446ee723e,1
cot,fpq_294,fpq,g_f52bbf2446ee723e,1
cot,fpq_295,fpq,g_b927c8cae6c10337,1
cot,fpq_296,fpq,g_f85a9e0ea828ee7c,1
cot,fpq_297,fpq,g_504c34b31263b847,0
cot,fpq_3,fpq,g_b307d148060aeba9,1
cot,fpq_30,fpq,g_1e745f346e4cb3e7,1
cot,fpq_302,fpq,g_ec9eab80a9121176,1
cot,fpq_303,fpq,g_ec9eab80a9121176,1
cot,fpq_304,fpq,g_ec9eab80a9121176,1
cot,fpq_305,fpq,g_7a965a3904fbae5f,0
cot,fpq_306,fpq,g_468608d58bc90e84,0
cot,fpq_307,fpq,g_468608d58bc90e84,1
cot,fpq_308,fpq,g_cbd8e06081de3089,1
cot,fpq_309,fpq,g_f2bcd9d2bd1368c5,1
cot,fpq_31,fpq,g_f73449782f83e067,1
cot,fpq_311,fpq,g_766dce1707ed55b2,1
cot,fpq_312,fpq,g_bdbdf9f140ffb344,1
cot,fpq_313,fpq,g_bdbdf9f140ffb344,1
cot,fpq_314,fpq,g_84efe198abe92564,0
cot,fpq_315,fpq,g_84efe198abe92564,0
cot,fpq_316,fpq,g_84efe198abe92564,0
cot,fpq_317,fpq,g_84efe198abe92564,0
cot,fpq_318,fpq,g_55ee87d27c3022bf,1
cot,fpq_319,fpq,g_55ee87d27c3022bf,1
cot,fpq_32,fpq,g_f73449782f83e067,1
cot,fpq_320,fpq,g_55ee87d27c3022bf,1
cot,fpq_321,fpq,g_e282fdd2a4f8b7c6,1
cot,fpq_325,fpq,g_ffe598021a0591dd,1
cot,fpq_326,fpq,g_cb299384268e8412,0
cot,fpq_327,fpq,g_7c6e8dcf510c5f13,1
cot,fpq_33,fpq,g_f73449782f83e067,1
cot,fpq_336,fpq,g_8a534c8ebcc2d2de,1
cot,fpq_34,fpq,g_a30fe563ea9cb798,1
cot,fpq_342,fpq,g_2a323114ccaebfc6,1
cot,fpq_343,fpq,g_38218b79b5b3af5f,1
cot,fpq_344,fpq,g_22b393415a594064,1
cot,fpq_348,fpq,g_4c7025811dc482c2,1
cot,fpq_35,fpq,g_a30fe563ea9cb798,0
cot,fpq_350,fpq,g_44163c72fa9d592b,1
cot,fpq_353,fpq,g_72ed5e4b9cc54d50,1
cot,fpq_354,fpq,g_72ed5e4b9cc54d50,1
cot,fpq_357,fpq,g_1e47b984d6fb115d,1
cot,fpq_358,fpq,g_1e47b984d6fb115d,1
cot,fpq_359,fpq,g_d28854be1aad3c97,1
cot,fpq_36,fpq,g_a30fe563ea9cb798,1
cot,fpq_361,fpq,g_a9acc1858fdfd3e2,1
cot,fpq_362,fpq,g_a9acc1858fdfd3e2,1
cot,fpq_366,fpq,g_4b5a70640e1e6f24,1
cot,fpq_368,fpq,g_47e3c8f03cbeb7a8,1
cot,fpq_37,fpq,g_ec608379b16075b5,1
cot,fpq_376,fpq,g_02b9908384cf1d51,1
cot,fpq_378,fpq,g_ea03550ceee73397,1
cot,fpq_379,fpq,g_ea03550ceee73397,1
cot,fpq_38,fpq,g_da34590d4f36118b,1
cot,fpq_380,fpq,g_645d45fa5925f541,1
cot,fpq_383,fpq,g_cf2fba1200ea9daf,0
cot,fpq_385,fpq,g_8bcec7c48239bfda,1
cot,fpq_386,fpq,g_f22f3efa712c221d,1
cot,fpq_387,fpq,g_6917327192562222,1
cot,fpq_388,fpq,g_1fa38295a9b81ae6,1
cot,fpq_389,fpq,g_1fa38295a9b81ae6,1
cot,fpq_39,fpq,g_59c8eb0389532e7c,1
cot,fpq_390,fpq,g_bab6e139ab1f2ceb,1
cot,fpq_391,fpq,g_bab6e139ab1f2ceb,1
cot,fpq_392,fpq,g_dc4d014737be2aa5,1
cot,fpq_394,fpq,g_bebaa054083074e9,1
cot,fpq_395,fpq,g_bebaa054083074e9,1
cot,fpq_396,fpq,g_4bea3a7efaf6846e,1
cot,fpq_397,fpq,g_1f5469f09b16ecc3,1
cot,fpq_398,fpq,g_2e0b59ed904136fb,1
cot,fpq_399,fpq,g_2e0b59ed904136fb,1
cot,fpq_4,fpq,g_b9bdc5e4663e46a5,1
cot,fpq_40,fpq,g_180a2f4fb476a8da,1
cot,fpq_400,fpq,g_94c0fe3211436732,1
cot,fpq_403,fpq,g_94c0fe3211436732,1
cot,fpq_405,fpq,g_e2af5323aeb7414f,1
cot,fpq_407,fpq,g_e2af5323aeb7414f,1
cot,fpq_408,fpq,g_e2af5323aeb7414f,1
cot,fpq_41,fpq,g_bc782fff330561e5,1
cot,fpq_415,fpq,g_66e9e5470d66f952,1
cot,fpq_416,fpq,g_66e9e5470d66f952,0
cot,fpq_417,fpq,g_66e9e5470d66f952,1
cot,fpq_42,fpq,g_f58144eff3c55e35,1
cot,fpq_420,fpq,g_3eb2b681bc43fcd9,1
cot,fpq_421,fpq,g_609a2b6d9e5999b2,1
cot,fpq_422,fpq,g_134b06bfa149feb0,1
cot,fpq_423,fpq,g_134b06bfa149feb0,1
cot,fpq_425,fpq,g_107eb984d25ea5ab,1
cot,fpq_426,fpq,g_107eb984d25ea5ab,1
cot,fpq_428,fpq,g_6df47b6886426780,0
cot,fpq_429,fpq,g_1ee4035c6638d7bd,1
cot,fpq_43,fpq,g_c0997e51d65d0496,1
cot,fpq_434,fpq,g_578c6dbbc1b2674d,1
cot,fpq_436,fpq,g_9be96888bdc63316,1
cot,fpq_438,fpq,g_0115bbd0b63fe0ec,1
cot,fpq_439,fpq,g_5390354115fe27f1,1
cot,fpq_44,fpq,g_c0997e51d65d0496,1
cot,fpq_443,fpq,g_364e149fa9d4f87f,1
cot,fpq_445,fpq,g_f5ee03e40ada5830,1
cot,fpq_446,fpq,g_f5ee03e40ada5830,1
cot,fpq_45,fpq,g_3a1d44267b620661,1
cot,fpq_459,fpq,g_3839f964a8a11d7b,1
cot,fpq_46,fpq,g_1953e82a310dec13,1
cot,fpq_460,fpq,g_3839f964a8a11d7b,1
cot,fpq_462,fpq,g_14c8ce6d8aacd7ad,1
cot,fpq_467,fpq,g_28b02aa97926c98b,1
cot,fpq_47,fpq,g_1953e82a310dec13,1
cot,fpq_472,fpq,g_6091608a8d96ab67,1
cot,fpq_473,fpq,g_4a44fd972a94c3db,1
cot,fpq_474,fpq,g_4a44fd972a94c3db,1
cot,fpq_477,fpq,g_ad1bc9af0bd65616,1
cot,fpq_479,fpq,g_322ef7eb4b0b8b42,1
cot,fpq_48,fpq,g_677a9285e0f3e5de,0
cot,fpq_484,fpq,g_525a9b81fe59a449,1
cot,fpq_485,fpq,g_104997b2f8dc665e,1
cot,fpq_487,fpq,g_fac45a3979a2caba,1
cot,fpq_488,fpq,g_fac45a3979a2caba,1
cot,fpq_49,fpq,g_677a9285e0f3e5de,1
cot,fpq_492,fpq,g_24c2810a7515e42d,1
cot,fpq_493,fpq,g_157d49e936d751a8,1
cot,fpq_494,fpq,g_157d49e936d751a8,1
cot,fpq_495,fpq,g_957d77a00c5f509c,1
cot,fpq_497,fpq,g_e5a761c9e362bd37,1
cot,fpq_499,fpq,g_a5e65ea6e0e0427f,1
cot,fpq_5,fpq,g_b9bdc5e4663e46a5,1
cot,fpq_50,fpq,g_677a9285e0f3e5de,0
cot,fpq_500,fpq,g_f4752a834936a70f,1
cot,fpq_501,fpq,g_f4752a834936a70f,1
cot,fpq_502,fpq,g_8dba62e1beed3a7d,1
cot,fpq_505,fpq,g_d2e1c875a2cc9a5c,1
cot,fpq_506,fpq,g_14bf65c395eccad7,1
cot,fpq_507,fpq,g_14bf65c395eccad7,1
cot,fpq_51,fpq,g_2a5a6ba709d1e6ba,1
cot,fpq_512,fpq,g_3bda14289ea1657e,1
cot,fpq_514,fpq,g_3bda14289ea1657e,1
cot,fpq_516,fpq,g_633b783ed1ae9ce6,1
cot,fpq_517,fpq,g_adf307c1c4e0c1d9,0
cot,fpq_52,fpq,g_2a5a6ba709d1e6ba,1
cot,fpq_521,fpq,g_c1d6bf1333f7e81d,1
cot,fpq_522,fpq,g_c1d6bf1333f7e81d,1
cot,fpq_524,fpq,g_97d6b514ff75f8c8,0
cot,fpq_525,fpq,g_97d6b514ff75f8c8,1
cot,fpq_53,fpq,g_2a5a6ba709d1e6ba,1
cot,fpq_530,fpq,g_59b190d450e12f75,1
cot,fpq_531,fpq,g_e562c0267bf624d5,1
cot,fpq_534,fpq,g_6e51e9ca91a6b310,1
cot,fpq_535,fpq,g_6e51e9ca91a6b310,1
cot,fpq_54,fpq,g_120d4a53c047dd85,1
cot,fpq_542,fpq,g_a786d0d624f2e2c9,1
cot,fpq_543,fpq,g_a108ca476d22f926,1
cot,fpq_546,fpq,g_5ca9e3e3726c0aed,1
cot,fpq_547,fpq,g_5ca9e3e3726c0aed,0
cot,fpq_549,fpq,g_53ae043726b29c83,1
cot,fpq_55,fpq,g_1e6435ddab760f8e,1
cot,fpq_550,fpq,g_57b08bdcf08d1183,1
cot,fpq_552,fpq,g_f157eaf72fbfc2a9,1
cot,fpq_556,fpq,g_9257e4d001b7fd7a,1
cot,fpq_557,fpq,g_9257e4d001b7fd7a,1
cot,fpq_558,fpq,g_ec08ec5bc743aabd,1
cot,fpq_559,fpq,g_1df5c809ca4cda6e,1
cot,fpq_56,fpq,g_8d2a718344704c15,1
cot,fpq_560,fpq,g_a9f94b25b9241449,1
cot,fpq_563,fpq,g_6511bae2f73d8756,1
cot,fpq_564,fpq,g_4bea3a7efaf6846e,0
cot,fpq_565,fpq,g_b5e0498ed763e2db,1
cot,fpq_566,fpq,g_b5e0498ed763e2db,1
cot,fpq_57,fpq,g_261fece1aa1a84cc,1
cot,fpq_570,fpq,g_ea1b1292c8e74b26,1
cot,fpq_572,fpq,g_47968107c0f5a9d8,1
cot,fpq_574,fpq,g_465379ee781c7767,1
cot,fpq_58,fpq,g_3cf0e37d5cc8e4c7,1
cot,fpq_580,fpq,g_06261b9fdb31cde7,1
cot,fpq_583,fpq,g_3282ccd5fd046b18,0
cot,fpq_584,fpq,g_246dc5d5b6358326,1
cot,fpq_586,fpq,g_b96789edde5ebe02,1
cot,fpq_59,fpq,g_3cf0e37d5cc8e4c7,0
cot,fpq_593,fpq,g_ed0fffb3c2864c4b,1
cot,fpq_595,fpq,g_08d289269282cb6c,1
cot,fpq_596,fpq,g_08d289269282cb6c,1
cot,fpq_598,fpq,g_61f59cdc17106f31,1
cot,fpq_6,fpq,g_d0558e4ba93c3774,0
cot,fpq_60,fpq,g_3e9b3f17bf68f43b,1
cot,fpq_600,fpq,g_f2ba2f1437dbc4b1,1
cot,fpq_601,fpq,g_f2ba2f1437dbc4b1,1
cot,fpq_603,fpq,g_2db4d541c3c288f5,1
cot,fpq_604,fpq,g_9a80d4288fb4a494,1
cot,fpq_606,fpq,g_c2e71cfd4489ceda,1
cot,fpq_607,fpq,g_1aae9e8d45a350d0,1
cot,fpq_608,fpq,g_ffe598021a0591dd,0
cot,fpq_609,fpq,g_ffe598021a0591dd,1
cot,fpq_61,fpq,g_5259300d91a12b52,1
cot,fpq_610,fpq,g_ffe598021a0591dd,0
cot,fpq_611,fpq,g_56fcfb23779cd978,1
cot,fpq_612,fpq,g_622de1e6e0c049fd,1
cot,fpq_613,fpq,g_a107636a7eec2e99,1
cot,fpq_614,fpq,g_a107636a7eec2e99,1
cot,fpq_615,fpq,g_a107636a7eec2e99,1
cot,fpq_616,fpq,g_a107636a7eec2e99,1
cot,fpq_617,fpq,g_f5ad3ce90fb8e435,1
cot,fpq_618,fpq,g_f5ad3ce90fb8e435,0
cot,fpq_619,fpq,g_1c5665ef5c01f1d7,1
cot,fpq_62,fpq,g_7c76fd39492792e5,1
cot,fpq_620,fpq,g_1c5665ef5c01f1d7,1
cot,fpq_621,fpq,g_eb8f6804d1c637b6,1
cot,fpq_622,fpq,g_eb8f6804d1c637b6,1
cot,fpq_623,fpq,g_eb8f6804d1c637b6,1
cot,fpq_624,fpq,g_50755827d69bcd14,1
cot,fpq_625,fpq,g_48daddc9a2091b80,1
cot,fpq_626,fpq,g_cbd8e06081de3089,1
cot,fpq_628,fpq,g_f3aa8a75a159950c,1
cot,fpq_629,fpq,g_f3aa8a75a159950c,1
cot,fpq_63,fpq,g_1c2c52fa313ede3f,1
cot,fpq_630,fpq,g_f3aa8a75a159950c,1
cot,fpq_631,fpq,g_d42de5a23d21046b,1
cot,fpq_632,fpq,g_d42de5a23d21046b,1
cot,fpq_633,fpq,g_d42de5a23d21046b,1
cot,fpq_634,fpq,g_3501d3281d06658b,1
cot,fpq_635,fpq,g_543e733353e62deb,0
cot,fpq_636,fpq,g_cbd8e06081de3089,1
cot,fpq_638,fpq,g_cbd8e06081de3089,1
cot,fpq_639,fpq,g_7a7d282b958f2563,0
cot,fpq_64,fpq,g_1c2c52fa313ede3f,1
cot,fpq_640,fpq,g_7b40dfc7097a1344,0
cot,fpq_641,fpq,g_7b40dfc7097a1344,0
cot,fpq_643,fpq,g_3f3f074567621eab,1
cot,fpq_644,fpq,g_8dde43bf29e73433,0
cot,fpq_645,fpq,g_c8b946a990d498cb,1
cot,fpq_646,fpq,g_c8b946a990d498cb,0
cot,fpq_647,fpq,g_c8b946a990d498cb,1
cot,fpq_649,fpq,g_89e6313cbb50c271,0
cot,fpq_65,fpq,g_73e83bdeacfff794,1
cot,fpq_650,fpq,g_89e6313cbb50c271,0
cot,fpq_652,fpq,g_a11eb7ec011a3efc,1
cot,fpq_653,fpq,g_4acf2752c5f6a27e,1
cot,fpq_654,fpq,g_0b84d27b6c84a4d5,1
cot,fpq_655,fpq,g_df5010db83d03311,1
cot,fpq_657,fpq,g_df5010db83d03311,1
cot,fpq_659,fpq,g_347d09921d3f89c9,1
cot,fpq_66,fpq,g_9fd46b63211f28f0,0
cot,fpq_661,fpq,g_b361b7e403261e2f,1
cot,fpq_662,fpq,g_5cc24a9ca907104f,1
cot,fpq_663,fpq,g_5cc24a9ca907104f,1
cot,fpq_666,fpq,g_a7f4db6c2258d390,1
cot,fpq_669,fpq,g_acc7ea77b7fbcaaa,1
cot,fpq_67,fpq,g_9fd46b63211f28f0,0
cot,fpq_671,fpq,g_6745c8f45534b8ce,1
cot,fpq_675,fpq,g_d213d38533744fa8,1
cot,fpq_676,fpq,g_24b2a452f573fbc0,1
cot,fpq_677,fpq,g_24b2a452f573fbc0,0
cot,fpq_678,fpq,g_84ecf92350142eb6,1
cot,fpq_68,fpq,g_6f53b0356755aa72,1
cot,fpq_682,fpq,g_97ec18577a7cface,0
cot,fpq_685,fpq,g_17e434e1e324de3d,1
cot,fpq_687,fpq,g_ce8c27d75c213f16,0
cot,fpq_689,fpq,g_ce8c27d75c213f16,1
cot,fpq_69,fpq,g_623be088511381ce,1
cot,fpq_690,fpq,g_2403a6b529c02e5a,1
cot,fpq_691,fpq,g_2403a6b529c02e5a,1
cot,fpq_692,fpq,g_f297dcc30d3f8e37,1
cot,fpq_694,fpq,g_10ab7b8526f7b2bc,1
cot,fpq_695,fpq,g_10ab7b8526f7b2bc,1
cot,fpq_696,fpq,g_10ab7b8526f7b2bc,1
cot,fpq_697,fpq,g_9f0da153b94bf67a,1
cot,fpq_699,fpq,g_dd0725db080da088,0
cot,fpq_7,fpq,g_9d488808e645e145,1
cot,fpq_70,fpq,g_879787cb22d42c3c,1
cot,fpq_702,fpq,g_c8f5a0ba89c3ac26,1
cot,fpq_703,fpq,g_c8f5a0ba89c3ac26,1
cot,fpq_704,fpq,g_59a4f8c0862b20a2,1
cot,fpq_705,fpq,g_aecf7d1293092c31,1
cot,fpq_706,fpq,g_febeb13ab3854627,1
cot,fpq_71,fpq,g_879787cb22d42c3c,1
cot,fpq_712,fpq,g_8e47b53225b890e8,1
cot,fpq_713,fpq,g_934919d7f1afbc27,0
cot,fpq_72,fpq,g_d51f767991e614c8,1
cot,fpq_721,fpq,g_793434b301ecb98f,1
cot,fpq_722,fpq,g_793434b301ecb98f,1
cot,fpq_723,fpq,g_fcea2ef492fea180,1
cot,fpq_724,fpq,g_3f9c4d31bf083495,1
cot,fpq_725,fpq,g_6282c3955ec9a11e,1
cot,fpq_726,fpq,g_3a0efef295c5adc4,1
cot,fpq_727,fpq,g_1fc84291f05020ed,1
cot,fpq_728,fpq,g_1fc84291f05020ed,1
cot,fpq_729,fpq,g_968e7c60f5d28f55,0
cot,fpq_73,fpq,g_56d6a600166c30ab,1
cot,fpq_730,fpq,g_1d60144819a5e36e,1
cot,fpq_735,fpq,g_a8909707f4162e6e,1
cot,fpq_736,fpq,g_a8909707f4162e6e,1
cot,fpq_738,fpq,g_9a80d4288fb4a494,0
cot,fpq_739,fpq,g_0157d379f2d95a20,1
cot,fpq_74,fpq,g_56d6a600166c30ab,1
cot,fpq_740,fpq,g_2f72bb4be6403b44,1
cot,fpq_741,fpq,g_906b9e8c0c0517d1,1
cot,fpq_743,fpq,g_b07e4772a464be48,1
cot,fpq_744,fpq,g_b07e4772a464be48,1
cot,fpq_745,fpq,g_b07e4772a464be48,1
cot,fpq_746,fpq,g_6385f4f592c98c5f,1
cot,fpq_747,fpq,g_c14890750c41d9c4,1
cot,fpq_749,fpq,g_86438a78d793baa9,1
cot,fpq_75,fpq,g_4606044722220183,1
